"id","boundary_id","x","y"
40649,1,1198,1617
177033,1,1078,143
162338,1,852,203
74993,2,2415,1273
56556,1,1457,1367
63013,1,1077,1342
23436,1,774,1855
162531,1,682,202
40577,1,1184,1618
7605,1,1124,1964
100236,1,814,970
53554,1,1403,1403
100463,1,827,966
129169,2,2323,720
105646,1,94,868
165521,1,591,194
160881,1,748,207
174471,1,71,155
186552,2,2260,97
130542,1,481,714
110205,1,149,837
3054,1,873,1974
71353,1,1151,1292
48137,2,2425,1491
80747,2,2392,1236
24819,1,828,1844
80328,2,2402,1239
112770,1,208,821
112511,1,252,823
181552,1,1155,122
192397,1,291,77
173237,1,1034,162
36189,2,2455,1692
123072,1,401,754
126344,1,695,735
187002,1,161,94
150148,1,52,389
129692,1,437,717
140824,2,2284,578
4264,1,1345,1971
99015,1,841,991
138187,2,2286,627
4006,1,799,1971
22739,1,838,1861
41928,2,2432,1596
154022,1,47,309
164641,1,868,197
189455,1,1245,87
122218,1,354,759
163748,1,769,199
135900,1,125,667
72714,1,1553,1285
135236,1,123,679
116745,1,274,795
170623,1,949,175
184652,1,118,106
181694,1,439,121
107342,1,160,855
147716,1,20,438
79746,2,2409,1243
184865,1,126,105
147403,1,29,445
20415,1,722,1884
118729,1,298,782
175222,1,1058,152
150726,2,2270,378
193988,1,309,71
117177,1,90,792
172761,1,527,164
131699,2,2311,710
101213,2,2400,952
164883,1,700,196
147131,1,33,451
152306,2,2270,346
75285,1,1546,1271
6325,1,1143,1966
107675,1,798,853
14953,1,1020,1949
63135,1,981,1341
52113,1,1374,1424
124527,1,383,745
1874,1,811,1978
167458,1,593,188
154567,2,2267,298
100296,1,822,969
115774,1,776,802
124248,1,672,747
169255,1,580,181
143046,2,2270,533
40268,2,2443,1624
192739,1,340,76
40378,2,2435,1622
32520,2,2450,1748
136958,1,108,648
144439,2,2262,506
198490,1,1351,22
149883,1,41,394
117462,2,2340,791
196002,1,1305,51
22381,2,2477,1864
6832,1,1001,1965
7087,1,1256,1965
15279,1,733,1948
134807,1,119,687
121807,1,708,762
111466,1,801,830
162449,1,600,202
75351,1,818,1270
195673,1,1295,55
50269,2,2419,1455
92018,2,2405,1126
33730,1,1093,1731
39773,1,1184,1632
91734,2,2397,1132
81304,1,1406,1232
47598,1,1327,1500
641,2,2492,1986
200196,1,1420,2
92537,1,899,1114
17130,2,2479,1940
173238,1,1035,162
127129,1,440,730
180434,1,1101,127
128233,1,449,724
133163,1,552,703
186573,1,125,96
52811,1,1420,1414
69109,1,1544,1306
1400,1,1357,1981
141568,1,59,563
11552,1,1112,1957
121609,1,360,763
164889,1,706,196
184171,1,1178,109
155264,1,51,283
116799,1,328,795
140772,2,2282,579
161270,1,817,206
76713,1,1264,1262
48757,1,1349,1480
117407,1,740,791
141736,2,2284,560
188328,1,315,90
142155,2,2278,551
30471,1,998,1777
184197,1,1204,109
108008,2,2357,851
76312,1,1566,1265
135797,2,2287,669
71641,1,1544,1291
51147,1,1373,1440
77912,1,1585,1255
200147,1,1441,3
98216,1,836,1002
89388,1,873,1177
42825,1,1234,1581
146411,1,35,466
49445,1,1338,1468
145845,2,2265,478
137850,1,77,632
186994,1,153,94
6573,1,742,1965
195093,1,1306,62
21393,1,791,1873
13982,1,1206,1952
135333,1,106,677
130495,1,434,714
192041,1,231,78
57811,1,931,1361
128097,1,631,725
170683,2,2282,175
75853,1,822,1267
113941,1,287,814
52111,1,1372,1424
5425,1,1302,1968
98026,1,862,1005
29207,2,2460,1796
92298,1,890,1119
189525,1,164,86
155913,1,56,269
42471,1,1242,1587
127794,1,131,726
125718,1,399,738
45802,1,1298,1530
63764,1,1022,1338
103161,1,814,912
51530,2,2424,1434
50910,1,1367,1444
173254,2,2277,162
86930,2,2411,1200
59051,1,829,1356
147205,1,15,449
84738,1,1431,1210
161855,1,717,204
178132,1,1110,138
176450,1,82,145
139979,2,2283,595
164728,1,71,196
87973,2,2399,1194
130717,2,2316,714
57450,1,821,1362
78660,2,2390,1250
95356,1,912,1053
21296,1,792,1874
25498,1,859,1838
120685,1,371,769
181929,1,1112,120
111505,1,85,829
26811,1,897,1825
57846,1,966,1361
141522,1,63,564
