"x","y","boundary_id"
535,1203,1
526,1200,1
528,1199,1
594,1199,1
553,1198,1
513,1197,1
553,1197,1
600,1197,1
546,1196,1
586,1196,1
523,1195,1
575,1195,1
509,1194,1
564,1194,1
604,1194,1
552,1193,1
603,1193,1
552,1192,1
495,1191,1
561,1191,1
559,1190,1
608,1189,1
497,1187,1
493,1185,1
610,1183,1
613,1181,1
489,1179,1
620,1178,1
477,1176,1
481,1175,1
481,1174,1
478,1173,1
474,1172,1
469,1171,1
465,1170,1
462,1169,1
447,1168,1
647,1168,1
627,1167,1
444,1166,1
650,1166,1
634,1165,1
444,1164,1
658,1164,1
641,1163,1
442,1162,1
665,1162,1
658,1161,1
644,1160,1
670,1159,1
434,1157,1
679,1156,1
674,1154,1
430,1152,1
425,1150,1
689,1149,1
687,1147,1
425,1145,1
415,1143,1
694,1142,1
696,1140,1
700,1138,1
702,1136,1
700,1134,1
703,1132,1
410,1129,1
703,1127,1
412,1125,1
709,1124,1
713,1123,1
711,1122,1
706,1121,1
408,1120,1
399,1119,1
390,1118,1
387,1117,1
392,1116,1
729,1115,1
733,1111,1
731,1106,1
736,1102,1
735,1098,1
739,1095,1
747,1092,1
512,1127,2
520,1125,2
518,1123,2
511,1121,2
526,1120,2
618,1119,2
524,1117,2
526,1116,2
452,1115,2
622,1115,2
529,1114,2
437,1113,2
602,1113,2
446,1112,2
603,1112,2
447,1111,2
540,1111,2
634,1111,2
470,1110,2
538,1110,2
596,1110,2
446,1109,2
509,1109,2
562,1109,2
602,1109,2
467,1108,2
532,1108,2
572,1108,2
629,1108,2
476,1107,2
543,1107,2
583,1107,2
641,1107,2
492,1106,2
562,1106,2
622,1106,2
465,1105,2
539,1105,2
579,1105,2
641,1105,2
498,1104,2
570,1104,2
634,1104,2
494,1103,2
583,1103,2
426,1102,2
625,1102,2
465,1101,2
425,1100,2
653,1100,2
423,1098,2
456,1097,2
423,1096,2
420,1095,2
423,1094,2
655,1093,2
662,1092,2
665,1091,2
672,1090,2
677,1089,2
684,1088,2
671,1086,2
402,1084,2
686,1082,2
403,1079,2
689,1077,2
692,1075,2
403,1073,2
399,1071,2
700,1069,2
404,1066,2
704,1064,2
404,1061,2
703,1059,2
400,1056,2
402,1054,2
403,1052,2
400,1050,2
398,1048,2
396,1046,2
393,1044,2
392,1042,2
391,1040,2
391,1038,2
390,1036,2
389,1034,2
387,1032,2
731,1031,2
729,1029,2
729,1027,2
730,1025,2
732,1023,2
733,1021,2
735,1019,2
736,1017,2
738,1015,2
737,1013,2
737,1011,2
737,1009,2
736,1007,2
379,1005,2
374,1003,2
750,1002,2
746,1000,2
375,998,2
367,996,2
752,995,2
749,993,2
371,991,2
365,989,2
761,988,2
757,986,2
754,984,2
368,982,2
364,980,2
363,978,2
362,976,2
362,974,2
362,972,2
361,970,2
361,968,2
362,966,2
363,964,2
364,962,2
363,960,2
360,958,2
356,956,2
353,954,2
779,953,2
774,951,2
355,949,2
347,947,2
780,946,2
777,944,2
351,942,2
349,940,2
346,938,2
793,937,2
789,935,2
349,933,2
799,932,2
790,930,2
339,928,2
796,927,2
337,925,2
799,924,2
332,922,2
800,921,2
329,919,2
804,918,2
331,916,2
814,915,2
808,913,2
328,911,2
322,909,2
317,907,2
819,906,2
818,904,2
818,902,2
818,900,2
817,898,2
817,896,2
817,894,2
318,892,2
316,890,2
313,888,2
308,886,2
829,885,2
826,883,2
826,881,2
826,879,2
826,877,2
826,875,2
826,873,2
826,871,2
826,869,2
305,867,2
302,865,2
299,863,2
295,861,2
840,860,2
838,858,2
835,856,2
299,854,2
295,852,2
293,850,2
290,848,2
848,847,2
848,845,2
847,843,2
846,841,2
844,839,2
295,837,2
290,835,2
855,834,2
853,832,2
297,830,2
291,828,2
287,826,2
863,825,2
861,823,2
859,821,2
859,819,2
294,817,2
290,815,2
288,813,2
287,811,2
284,809,2
281,807,2
872,806,2
870,804,2
869,802,2
868,800,2
868,798,2
868,796,2
870,794,2
872,792,2
872,790,2
876,788,2
876,786,2
879,784,2
273,781,2
274,779,2
272,777,2
272,775,2
270,773,2
269,771,2
266,769,2
264,767,2
883,766,2
882,764,2
881,762,2
880,760,2
882,758,2
882,756,2
884,754,2
884,752,2
886,750,2
887,748,2
888,746,2
256,743,2
257,741,2
258,739,2
258,737,2
257,735,2
256,733,2
254,731,2
253,729,2
252,727,2
250,725,2
250,723,2
249,721,2
250,719,2
248,717,2
248,715,2
248,713,2
247,711,2
246,709,2
246,707,2
245,705,2
242,703,2
239,701,2
901,700,2
900,698,2
901,696,2
901,694,2
902,692,2
903,690,2
904,688,2
907,686,2
232,683,2
232,681,2
233,679,2
234,677,2
236,675,2
238,673,2
905,671,2
909,669,2
912,667,2
233,664,2
910,662,2
909,657,2
907,651,2
912,646,2
910,640,2
802,652,3
801,650,3
809,649,3
810,648,3
804,647,3
108,646,3
1005,646,3
811,645,3
103,644,3
820,644,3
232,643,3
828,643,3
234,642,3
831,642,3
233,641,3
830,641,3
113,640,3
818,640,3
1026,640,3
623,639,3
998,639,3
229,638,3
786,638,3
1022,638,3
614,637,3
834,637,3
107,636,3
615,636,3
864,636,3
109,635,3
614,635,3
836,635,3
108,634,3
610,634,3
832,634,3
1018,634,3
251,633,3
785,633,3
999,633,3
225,632,3
633,632,3
859,632,3
123,631,3
605,631,3
786,631,3
875,631,3
139,630,3
635,630,3
838,630,3
880,630,3
145,629,3
642,629,3
840,629,3
1000,629,3
150,628,3
641,628,3
786,628,3
883,628,3
146,627,3
608,627,3
737,627,3
878,627,3
142,626,3
602,626,3
730,626,3
851,626,3
150,625,3
639,625,3
740,625,3
884,625,3
219,624,3
642,624,3
746,624,3
999,624,3
267,623,3
702,623,3
782,623,3
209,622,3
352,622,3
738,622,3
992,622,3
270,621,3
596,621,3
747,621,3
997,621,3
277,620,3
597,620,3
753,620,3
152,619,3
284,619,3
644,619,3
779,619,3
202,618,3
295,618,3
700,618,3
986,618,3
278,617,3
598,617,3
782,617,3
204,616,3
344,616,3
757,616,3
159,615,3
355,615,3
780,615,3
202,614,3
644,614,3
892,614,3
296,613,3
593,613,3
890,613,3
294,612,3
537,612,3
769,612,3
158,611,3
356,611,3
591,611,3
778,611,3
165,610,3
391,610,3
547,610,3
764,610,3
974,610,3
302,609,3
411,609,3
584,609,3
771,609,3
161,608,3
328,608,3
414,608,3
578,608,3
765,608,3
975,608,3
197,607,3
393,607,3
545,607,3
650,607,3
903,607,3
183,606,3
358,606,3
529,606,3
579,606,3
769,606,3
172,605,3
327,605,3
416,605,3
548,605,3
647,605,3
913,605,3
193,604,3
377,604,3
466,604,3
565,604,3
683,604,3
175,603,3
327,603,3
391,603,3
527,603,3
578,603,3
914,603,3
192,602,3
363,602,3
451,602,3
551,602,3
658,602,3
961,602,3
319,601,3
388,601,3
521,601,3
658,601,3
927,601,3
967,601,3
370,600,3
457,600,3
557,600,3
683,600,3
948,600,3
