"","file","select_ref_id","num_cell","numlayer_output","K_kmeans_silhouette","K_GMM_BIC","K_Gap","K_dbscan"
"1","0001-1_part_1_patch_3",2,926,16,5,6,27,8
"2","0001-1_part_1_patch_4",1,520,10,5,5,5,7
"3","0001-1_part_2_patch_2",2,1017,16,5,5,5,11
"4","0001-1_part_2_patch_3",1,629,11,26,5,22,11
"5","0001_part_1_patch_1",2,537,10,34,5,15,4
"6","0001_part_1_patch_2",1,343,8,33,6,28,7
"7","0001_part_1_patch_3",2,580,10,7,7,13,12
"8","0001_part_1_patch_4",1,322,7,7,6,6,2
"9","0001_part_1_patch_5",1,510,11,35,7,12,13
"10","0001_part_1_patch_6",1,449,11,5,6,6,9
"11","0001_part_2_patch_1",2,427,10,33,5,5,15
"12","0001_part_2_patch_2",1,503,12,5,5,31,11
"13","0001_part_2_patch_3",1,861,14,5,10,26,9
"14","0001_part_2_patch_4",1,704,13,5,7,5,16
"15","0001_part_2_patch_5",1,823,15,5,5,5,15
"16","0001_part_2_patch_6",1,884,15,5,7,8,13
"17","0001_part_3_patch_1",1,510,13,32,6,5,22
"18","0001_part_3_patch_2",1,602,17,5,7,6,20
"19","0001_part_3_patch_3",1,377,10,5,6,5,10
"20","0001_part_3_patch_4",2,215,8,33,5,27,4
"21","0001_part_3_patch_5",2,177,7,12,5,29,10
"22","001-1_part_1_patch_1",2,663,15,31,5,35,26
"23","001-1_part_1_patch_2",1,556,14,34,5,30,16
"24","001-1_part_1_patch_3",2,670,14,5,5,5,24
"25","001-1_part_1_patch_4",1,607,16,5,5,32,23
"26","001_part_1_patch_1",1,697,12,16,5,35,8
"27","001_part_1_patch_2",1,495,12,5,7,26,23
"28","001_part_1_patch_3",1,664,15,18,6,18,25
"29","001_part_1_patch_4",1,672,16,5,6,27,25
"30","001_part_1_patch_5",2,889,15,34,5,5,11
"31","001_part_1_patch_8",1,825,15,17,5,10,13
"32","002_part_1_patch_1",2,634,12,5,5,5,19
"33","002_part_1_patch_2",1,522,15,15,6,11,22
"34","002_part_1_patch_3",1,448,10,33,6,5,10
"35","002_part_1_patch_4",2,324,13,5,5,5,14
"36","002_part_2_patch_1",2,576,16,5,7,34,16
"37","002_part_2_patch_2",2,493,12,35,6,32,11
"38","003-1_part_1_patch_1",1,507,13,5,5,35,17
"39","003-1_part_1_patch_2",1,285,9,7,5,5,17
"40","003-1_part_1_patch_3",1,350,10,35,5,5,13
"41","003-1_part_2_patch_1",2,507,13,34,5,29,16
"42","003-1_part_2_patch_2",2,285,11,35,5,23,20
"43","003-1_part_2_patch_3",2,352,9,30,5,32,12
"44","004_part_1_patch_1",1,1565,18,35,5,5,13
"45","004_part_1_patch_2",1,843,12,5,5,8,8
"46","005-1_part_1_patch_1",2,488,13,5,6,13,24
"47","005-1_part_1_patch_2",2,470,12,35,5,25,11
"48","005-1_part_1_patch_3",2,453,14,23,5,24,9
"49","005-1_part_1_patch_4",1,1402,22,5,5,5,21
"50","005-1_part_1_patch_5",1,581,17,5,6,31,14
"51","005-1_part_1_patch_6",1,638,17,5,6,5,40
"52","005-1_part_1_patch_7",2,1256,19,5,9,11,38
"53","005-1_part_1_patch_8",1,469,11,7,5,13,12
"54","005-1_part_2_patch_1",2,806,18,5,13,6,17
"55","005-1_part_2_patch_2",2,533,19,33,6,31,26
"56","005_part_1_patch_1",2,169,10,27,5,6,7
"57","005_part_1_patch_2",2,180,8,6,5,9,11
"58","005_part_1_patch_3",2,680,12,35,5,26,9
"59","005_part_1_patch_4",2,886,17,24,5,5,7
"60","005_part_2_patch_1",2,422,12,33,5,5,14
"61","005_part_2_patch_2",1,1023,16,6,7,6,20
"62","005_part_2_patch_3",2,1018,15,5,5,5,18
"63","005_part_2_patch_4",2,804,18,33,6,27,22
"64","005_part_2_patch_5",2,949,19,5,6,10,20
"65","005_part_3_patch_1",2,628,14,34,5,23,16
"66","005_part_3_patch_2",2,580,14,5,6,5,9
"67","005_part_3_patch_3",1,745,17,6,6,6,43
"68","005_part_3_patch_4",2,756,15,5,11,5,27
"69","005_part_3_patch_5",1,713,15,5,6,27,33
"70","005_part_3_patch_8",2,485,11,5,6,5,12
"71","006-1_part_1_patch_1",1,202,10,34,5,33,6
"72","006-1_part_1_patch_2",1,435,12,26,5,5,12
"73","006-1_part_1_patch_3",2,568,15,32,5,22,27
"74","006-1_part_1_patch_4",1,955,18,5,6,34,37
"75","006-1_part_1_patch_5",2,412,17,35,5,23,25
"76","006_part_1_patch_1",1,891,16,33,5,5,7
"77","006_part_1_patch_2",1,509,13,11,5,33,12
"78","006_part_1_patch_3",1,438,11,28,5,5,8
"79","006_part_1_patch_4",1,719,15,25,5,7,11
"80","006_part_1_patch_5",1,780,15,35,5,5,19
