"repetition","num_layer","num_nuclei","sd_within","sd_between","blade_numlayer","kmeans_numlayer","gmm_numlayer","gap_numlayer","dbscan_numlayer","dpmm_numlayer","blade_ari","kmeans_ari","gmm_ari","gap_ari","dbscan_ari","dpmm_ari","blade_nmi","kmeans_nmi","gmm_nmi","gap_nmi","dbscan_nmi","dpmm_nmi","blade_ami","kmeans_ami","gmm_ami","gap_ami","dbscan_ami","dpmm_ami","blade_fmi","kmeans_fmi","gmm_fmi","gap_fmi","dbscan_fmi","dpmm_fmi","blade_cor","kmeans_cor","gmm_cor","gap_cor","dbscan_cor","dpmm_cor","blade_time","kmeans_time","gmm_time","gap_time","dbscan_time","dpmm_time"
1,7,608,18.1265088705881,64.9814240087985,7,6,6,7,3,8,0.831870350105575,0.800724008981559,0.502788801454632,0.838057831554966,0.0379721193719217,0.828279167388352,0.822593212208259,0.779440191672806,0.666103836410125,0.829333089215263,0.0992665589947069,0.80691091701608,0.819608549516067,0.776340840814434,0.661373861800643,0.826471275791457,0.0934620732710154,0.803119452109443,0.862684776913466,0.840033671091928,0.608185314592059,0.867695100429655,0.445193071022549,0.859669806589107,0.988852288907548,0.764682443997782,0.388487046248452,0.899573835653109,0.340160318634974,0.989316664664169,21.312,0.079,0.979,6.064,0,17.609
2,12,1283,18.6534832372002,62.4273530998659,13,5,5,5,6,15,0.754769668440234,0.520326651128685,0.492236579065238,0.520326651128685,0.332227512893513,0.76733576280012,0.81944308543505,0.602200606149311,0.587855208123927,0.602200606149311,0.463267636800913,0.820558709163403,0.815411812924545,0.599302018942644,0.584851404867865,0.599302018942644,0.458313855321252,0.81600227759496,0.779598972653488,0.625729637606288,0.600936609135061,0.625729637606288,0.521234832390336,0.790926246671933,0.992915088813535,0.302897602486897,0.046739086575176,0.12250834414815,-0.132860005003763,0.994845648421098,88.326,0.398,1.369,18.301,0.001,68.288
3,17,1428,17.5996395877524,62.1753798435738,17,12,10,13,16,16,0.840676875027009,0.77616468836246,0.6491528648078,0.782903096392851,0.687423633288182,0.835390870148542,0.87085445462734,0.812534773500391,0.733740693870104,0.822908153192746,0.777506393869959,0.865274887359101,0.866204492684503,0.807974209209432,0.728460519573259,0.818160914647604,0.770006364783564,0.86064587813814,0.854259112284139,0.80145620887024,0.704025712927659,0.805399726947151,0.735282713180333,0.849518322764242,0.994314246425424,0.665930957782024,0.40579726128008,0.571499344378008,0.691246191633541,0.995659682736512,124.644,0.326,1.638,21.859,0.001,85.081
4,15,1558,17.1152631170876,61.2581307226831,16,6,12,17,5,17,0.858525001380445,0.518842387367375,0.754293995090844,0.800553576230934,0.317582517425332,0.860629225991857,0.890165607256978,0.634237674130351,0.818599797479472,0.854224443296229,0.498337145597932,0.890704363142783,0.88721586429394,0.631039125551576,0.81499696017878,0.850078702736638,0.494710232905622,0.887639017935356,0.870475112636309,0.623918258857167,0.778980593955861,0.818010034141452,0.501173034718932,0.872342154950604,0.9981039028052,0.38276138098721,0.621548098129011,0.896988515158194,0.576961034128724,0.998220677739158,145.926,0.368,1.946,25.176,0.001,99.348
5,20,2161,18.0522407921351,60.0066528801497,16,5,10,22,10,20,0.741234475300087,0.347342506424788,0.561153250353081,0.746513373686889,0.0329368111154731,0.758273508353433,0.820595830643242,0.51449355336613,0.696646040367808,0.836278686816843,0.165735513183623,0.845201870252838,0.816209417745402,0.511493544827905,0.692324072883835,0.830711522318427,0.154739454620656,0.840499660517962,0.761379803532506,0.501618197369936,0.625653251044346,0.763457469111495,0.269613377677719,0.774520626668917,0.986606867434406,0.204520709883284,0.301616239252509,0.860188812072624,-0.195058160918249,0.891192022088364,289.832,0.683,2.593,45.495,0.001,191.174
6,16,1596,17.3720020381032,59.3829410014872,16,9,9,15,9,15,0.810644941093055,0.707545022251624,0.696276908940704,0.776408199651621,0.427857360697617,0.84245845422726,0.853368021597529,0.759007945409696,0.751694653845325,0.852526899066191,0.608198464541437,0.872625905287799,0.849200707878339,0.75540848961283,0.747980457282081,0.84855072510701,0.602133575593962,0.86915220774494,0.828274547319053,0.75373313717818,0.746443020002545,0.79521264542726,0.568971944100676,0.855938122845614,0.93774943531931,0.410572901430322,0.355796958075895,0.739583412360946,0.396204643941549,0.980797823914267,145.03,0.391,2.241,26.022,0.001,100.91
7,8,536,17.1767534288434,64.7148077924672,9,9,5,9,11,9,0.859991033446124,0.860380932346921,0.621491442790686,0.712497593649549,0.706365749686222,0.86210459612439,0.866387934038861,0.860064520215266,0.674158921406217,0.789284486678011,0.806667665420842,0.86888394207005,0.862617079850221,0.856023806428109,0.66952826427561,0.783638412406215,0.798882395461815,0.865187954519372,0.884254282403572,0.884509322320977,0.703230930460314,0.763896186338383,0.778242779602561,0.885970348251953,0.993264805214955,0.886886746414051,0.813372338723304,0.868204015149784,0.639053430071697,0.993388272035711,18.473,0.056,1.08,5.111,0,15.295
8,25,2310,16.7038011178108,61.1999756964087,22,20,18,23,15,23,0.761073738680072,0.799214678501127,0.773280536987352,0.787991809639903,0.434721160501035,0.795192766556663,0.858541173453962,0.864436939256907,0.84502921040453,0.878038311119879,0.671354803332615,0.87475619789294,0.852900510631206,0.859608445197762,0.840158840748211,0.87293689113245,0.663298076292476,0.869508936491958,0.78304693515986,0.813787648953335,0.790443159456546,0.800243122251705,0.556064927595723,0.810969254564482,0.989800882628649,0.762430579029381,0.59330992237009,0.671495574678822,0.406318561963831,0.994617006348888,447.679,0.772,2.855,50.21,0.001,215.922
9,9,1016,19.2510583345397,61.5267863288858,10,5,6,8,5,10,0.754548720740074,0.592473953637895,0.578818178017483,0.721094571500184,0.267187392696367,0.749749102824562,0.790516067681297,0.64856042466905,0.673077792012171,0.77628389540926,0.424351596334934,0.790163935504025,0.786937084439093,0.64586078054424,0.669920000791118,0.773220213216232,0.419607175583843,0.786578365105839,0.786988286772306,0.683892556124033,0.661301774708906,0.761269416074533,0.508223947241898,0.782809279916098,0.990874432098737,0.195300037627649,0.481998526347069,0.52549013467957,0.19423466787008,0.990741952476178,50.597,0.175,1.465,12.344,0.001,42.772
10,10,1108,18.6453609175927,60.8020188662889,10,5,6,6,4,11,0.792796020049563,0.616858009226101,0.70658197480899,0.684845161992297,0.223594378192246,0.79633687448278,0.828077851270501,0.653691039005007,0.728011846230131,0.710976053236943,0.373141362185387,0.823345475422624,0.824982524912163,0.651033225236669,0.725391776163419,0.70819241285406,0.369469829633516,0.819848651927875,0.819665896295573,0.704623404160154,0.758742363588142,0.739455348592309,0.481329162014229,0.822683623587731,0.991447916545629,0.535520007769862,0.639778751906683,0.42365478147613,0.72159659039893,0.989458329919136,65.834,0.192,1.337,14.268,0.001,49.326
